UniProt_Accession,Gene_Name,Confidence_Level,SMILES,InChI_Key,Molecular_Formula,Molecular_Weight,Classification
Q13535,ATR,2,CS(=NC#N)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N,POICVPWOGNWWIM-UHFFFAOYSA-N,C19H16N6OS,376.45,inhibitor
Q13535,ATR,2,CS(=N)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N,LHRXBZPJRMGOAL-UHFFFAOYSA-N,C18H17N5O2S,367.43,inhibitor
Q13535,ATR,2,CN=S(=O)(C)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N,RVAMDEYUWMTDOW-UHFFFAOYSA-N,C19H19N5O2S,381.46,inhibitor
Q13535,ATR,2,CS(=NC#N)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N,SKVLYFDLKSNGSZ-UHFFFAOYSA-N,C19H16N6O2S,392.44,inhibitor
Q13535,ATR,2,CC1CN2C(=C(C=N2)C3=CC=C(C=C3)S(=O)(=O)N(C)C)CN1C4=C5C=CNC5=NC=C4,UGAYOLUDSWRLMK-UHFFFAOYSA-N,C22H24N6O2S,436.54,inhibitor
Q13535,ATR,2,CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=C3CN(CCN3N=C2)C4=C5C=CNC5=NC=C4,IRPXBHAXMHTWAE-UHFFFAOYSA-N,C21H22N6O2S,422.51,inhibitor
Q13535,ATR,2,C[C@H](COCC1)N1C2=C(SC=C3)C3=NC(C4=CC(OC)=CC5=C4C=CN5)=N2,MRTRHNIKMKKZLG-GFCCVEGCSA-N,C20H20N4O2S,380.47,inhibitor
Q13535,ATR,2,COC1=CC(NC=C2)=C2C(C3=NC(N4CCOCC4)=C(SC=C5)C5=N3)=C1,QFOKCKUZZBCKDE-UHFFFAOYSA-N,C19H18N4O2S,366.45,inhibitor
Q13535,ATR,2,CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=O)(=O)C4CC4)C5=C6C=CNC6=CC=C5,NTJNSGIJAQGTSK-UHFFFAOYSA-N,C23H26N4O3S,438.55,inhibitor
Q13535,ATR,2,C1CC1S(=O)(=O)C2(CC2)C3=CC(=NC(=N3)C4=C5C=CNC5=CC=C4)N6CCOCC6,WJKCMVWNAYNXAM-UHFFFAOYSA-N,C22H24N4O3S,424.53,inhibitor
Q13535,ATR,2,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,TUVCWJQQGGETHL-UHFFFAOYSA-N,C19H16N4O3,348.36,inhibitor
Q13535,ATR,2,CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO,JFVNFXCESCXMBC-UHFFFAOYSA-N,C14H16ClN3O4S2,389.89,inhibitor
Q13535,ATR,2,CN(C)C1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)C4=NC(=NC(=N4)N5CCOCC5)N6CCOCC6,DWZAEMINVBZMHQ-UHFFFAOYSA-N,C32H41N9O4,615.74,inhibitor
Q13535,ATR,2,CS(=O)(=O)C1=CC=C(C=C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N,HDTSXRNXHXFDQG-UHFFFAOYSA-N,C19H15N7O2S,405.44,inhibitor
Q13535,ATR,2,C1CC2=CC=CC=C2CC1N3C4=NC=NC(=C4C(=N3)C5=CN=C6C(=C5)C=CN6)N,OCPUEHQKXKEZJV-UHFFFAOYSA-N,C22H19N7,381.44,inhibitor
Q13535,ATR,2,C1CC2=CC=CC=C2C1N3C4=NC=NC(=C4C(=N3)C5=CC(=C(C=C5)Br)O)N,ARUHNGYBTHMQAU-UHFFFAOYSA-N,C20H16BrN5O,422.29,inhibitor
Q13535,ATR,2,C1C(CC2=CC=CC=C21)N3C4=NC=NC(=C4C(=N3)C5=CC(=C(C=C5)Br)O)N,FZTMVHAUQSSXMI-UHFFFAOYSA-N,C20H16BrN5O,422.29,inhibitor
Q13535,ATR,2,C1CC2=C(CC1N3C4=NC=NC(=C4C(=N3)C5=CC(=C6C(=C5)C=CN6)F)N)SC(=N2)N,PZUKNYDUTHNUOU-UHFFFAOYSA-N,C20H17FN8S,420.48,inhibitor
Q13535,ATR,2,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3,RTZKSTLPRTWFEV-UHFFFAOYSA-N,C23H28O6,400.47,inhibitor
Q13535,ATR,2,CC1CN2C(=C(C=N2)C3CCN(CC3)S(=O)(=O)C)CN1C4=CC(=NC5=C4C=CN5)Cl,WJVYZVMUDBIEES-UHFFFAOYSA-N,C20H25ClN6O2S,448.98,inhibitor
Q13535,ATR,2,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O,HVXBOLULGPECHP-UHFFFAOYSA-N,C18H20O5,316.35,inhibitor
Q13535,ATR,2,CS(=O)(=O)CN1C=NC2=C(N=C(C=C21)C3=C4C=CNC4=CC=C3)N5CCOCC5,RSBOHAFEBOHQLU-UHFFFAOYSA-N,C20H21N5O3S,411.49,inhibitor
Q13535,ATR,2,CC1COCCN1C2=C3C(=CC(=N2)C4=C5C=CNC5=CC=C4)N(C=N3)CS(=O)(=O)C,SDTITDFDVMHDCX-UHFFFAOYSA-N,C21H23N5O3S,425.51,inhibitor
Q13535,ATR,2,CC1COCCN1C2=C3C(=CC(=N2)C4=CN=CC5=C4C=CN5)N(C=N3)C(C)S(=O)(=O)C,SSPHMGCXSJLCMP-UHFFFAOYSA-N,C21H24N6O3S,440.53,inhibitor
Q13535,ATR,2,CC1COCCN1C2=C3C(=CC(=N2)C4=CN=CC5=C4C=CN5)N(C=N3)C,VTCHWSGDIXAKIE-UHFFFAOYSA-N,C19H20N6O,348.41,inhibitor
Q13535,ATR,2,CC1COCCN1C2=C3C(=CC(=N2)C4=C5C=CNC5=CN=C4F)N(C=N3)C,LYTYLKIUCFTVLF-UHFFFAOYSA-N,C19H19FN6O,366.40,inhibitor
Q13535,ATR,2,CC1COCCN1C2=C3C(=CC(=N2)C4=C5C=CNC5=CN=N4)N(C=N3)C,XCOKOJKTXOLUTM-UHFFFAOYSA-N,C18H19N7O,349.40,inhibitor
Q13535,ATR,2,CC1CN2C(=C(C=N2)C3=CC=C(C=C3)S(=O)(=O)C)CN1C4=C5C=CNC5=NC=C4,UFZMEAYSFGBIBJ-UHFFFAOYSA-N,C21H21N5O2S,407.50,inhibitor
Q13535,ATR,2,CC1CN2C(=C(C=N2)C3CCN(CC3)S(=O)(=O)C)CN1C4=C5C=CNC5=NC=C4,RUBCMYKDFDSVRG-UHFFFAOYSA-N,C20H26N6O2S,414.54,inhibitor
Q13535,ATR,2,CC1CN2C(=C(C=N2)C3CCN(CC3)S(=O)(=O)C)CN1C4=C5C=NNC5=NC=C4,JXMWFZIZTIIQST-UHFFFAOYSA-N,C19H25N7O2S,415.52,inhibitor
Q13535,ATR,2,CC1CN2C(=C(C=N2)C3CCN(CC3)S(=O)(=O)C)CN1C4=C5C(=NC=C4)N=CN5,VYVKRWPUIMOGDT-UHFFFAOYSA-N,C19H25N7O2S,415.52,inhibitor
Q13535,ATR,2,CC1CN2C(=C(C=N2)C3CCN(CC3)S(=O)(=O)C)CN1C4=CC(=NC=C4)N,HKJNCMXEQXBCBI-UHFFFAOYSA-N,C18H26N6O2S,390.51,inhibitor
Q13535,ATR,2,CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C3N2N=C(C=C3)C4=C5C=CNC5=NC=C4,ZPRINXXEBIDTGA-UHFFFAOYSA-N,C21H18N6O2S,418.48,inhibitor
Q13535,ATR,2,COC1=C(C=C(C=C1)C2=NN3C(=NC=C3C4=CC=C(C=C4)C(=O)N)C=C2)OC,NNVUNKFUFFIJJQ-UHFFFAOYSA-N,C21H18N4O3,374.40,inhibitor
Q13535,ATR,2,CC(=O)OC1CC2(C(CC3C2(O3)C4(C1C5(C=CC(=O)C(C5=C(C4=O)O)(C)C)C)C)C6=COC=C6)C,AJTULIWKBMDPCJ-UHFFFAOYSA-N,C28H32O7,480.56,inhibitor
Q13535,ATR,2,CC1=C2CC=C3C(C2=CC(=C1OC(=O)C)OC(=O)C)(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,SAOOBRUHTPONGX-UHFFFAOYSA-N,C33H44O6,536.71,inhibitor
Q13535,ATR,2,CS(=O)(=O)CCCCN=C=S,WNCZPWWLBZOFJL-UHFFFAOYSA-N,C6H11NO2S2,193.29,inhibitor
Q13535,ATR,2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,RYYVLZVUVIJVGH-UHFFFAOYSA-N,C8H10N4O2,194.19,inhibitor
Q13535,ATR,2,CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C3CC(=NO3)C4=CC=C(C=C4)CNC)N,QMOZBCQSKGXIJE-UHFFFAOYSA-N,C24H27N5O3S,465.58,inhibitor
Q13535,ATR,2,CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C3CC(=NO3)C4=CC=CC=C4)N,GPBDAISQSIENJA-UHFFFAOYSA-N,C22H22N4O3S,422.51,inhibitor
Q13535,ATR,2,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-],HLCDNLNLQNYZTK-UHFFFAOYSA-N,C23H18Cl3FN4O3S,555.85,inhibitor
P16152,CBR1,2,CCOC1=CC(=CC(=C1OCC)O)C2C(CC3=C(O2)C=C(C=C3OCC)O)OC(=O)C4=CC(=C(C(=C4)OCC)OCC)OCC,QNYUPQMBRWBCFP-UHFFFAOYSA-N,C34H42O11,626.70,inhibitor
P16152,CBR1,2,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,AVOLMBLBETYQHX-UHFFFAOYSA-N,C13H12Cl2O4,303.14,inhibitor
P16152,CBR1,2,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CGIGDMFJXJATDK-UHFFFAOYSA-N,C19H16ClNO4,357.79,inhibitor
P16152,CBR1,2,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,XEFQLINVKFYRCS-UHFFFAOYSA-N,C12H7Cl3O2,289.54,inhibitor
P16152,CBR1,2,CC(C)(C)N1C2=NC=NC(=C2C(N1)C3=CC(=CC=C3)O)N,MOBNVUUZKKAKLV-UHFFFAOYSA-N,C15H19N5O,285.35,inhibitor
P16152,CBR1,2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,368.39,inhibitor
P16152,CBR1,2,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,IQPNAANSBPBGFQ-UHFFFAOYSA-N,C15H10O6,286.24,inhibitor
P16152,CBR1,2,CC1CCCC(=O)CCCC=CC2=C(C(=CC(=C2)O)O)C(=O)O1,MBMQEIFVQACCCH-UHFFFAOYSA-N,C18H22O5,318.37,inhibitor
P16152,CBR1,2,C1=CC=C(C(=C1)NC(=O)C2=CC3=C(C(=CC=C3)O)OC2=N)Cl,LMSWVJGSEXBYNG-UHFFFAOYSA-N,C16H11ClN2O3,314.73,inhibitor
P16152,CBR1,2,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O,MQGPSCMMNJKMHQ-UHFFFAOYSA-N,C15H10O3,238.24,inhibitor
P16152,CBR1,2,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,KZNIFHPLKGYRTM-UHFFFAOYSA-N,C15H10O5,270.24,inhibitor
P16152,CBR1,2,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IYRMWMYZSQPJKC-UHFFFAOYSA-N,C15H10O6,286.24,inhibitor
P16152,CBR1,2,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,OXGUCUVFOIWWQJ-UHFFFAOYSA-N,C21H20O11,448.38,inhibitor
P16152,CBR1,2,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,SQFSKOYWJBQGKQ-UHFFFAOYSA-N,C16H12O6,300.27,inhibitor
P16152,CBR1,2,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,DANYIYRPLHHOCZ-UHFFFAOYSA-N,C16H12O5,284.27,inhibitor
P16152,CBR1,2,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C15H10O4,254.24,inhibitor
P16152,CBR1,2,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O,SQVXWIUVAILQRH-UHFFFAOYSA-N,C16H12O4,268.27,inhibitor
P16152,CBR1,2,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,VCCRNZQBSJXYJD-UHFFFAOYSA-N,C15H10O5,270.24,inhibitor
P16152,CBR1,2,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O,ICLVCWSZHUZEFT-UHFFFAOYSA-N,C21H20O10,432.38,inhibitor
P16152,CBR1,2,COC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=CC=C3,QKNDCRMJDZLFEG-UHFFFAOYSA-N,C16H12O3,252.27,inhibitor
P16152,CBR1,2,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O,IRZVHDLBAYNPCT-UHFFFAOYSA-N,C16H12O4,268.27,inhibitor
P16152,CBR1,2,COC1=CC2=C(C(=C1)OC)C(=O)C(=C(O2)C3=CC=CC=C3)OC,CBTHKWVPSIGKMI-UHFFFAOYSA-N,C18H16O5,312.32,inhibitor
P16152,CBR1,2,COC1=CC=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O,HMUJXQRRKBLVOO-UHFFFAOYSA-N,C16H14O5,286.28,inhibitor
P16152,CBR1,2,COC1=CC=C(C=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,CKDYDMSDCNQHEB-UHFFFAOYSA-N,C16H14O6,302.28,inhibitor
P16152,CBR1,2,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,FTVWIRXFELQLPI-UHFFFAOYSA-N,C15H12O5,272.26,inhibitor
P16152,CBR1,2,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,C15H10O4,254.24,inhibitor
P16152,CBR1,2,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,VEVZSMAEJFVWIL-UHFFFAOYSA-O,C15H11O6+,287.25,inhibitor
P16152,CBR1,2,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,TZBJGXHYKVUXJN-UHFFFAOYSA-N,C15H10O5,270.24,inhibitor
P16152,CBR1,2,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-UHFFFAOYSA-N,C15H14O6,290.27,inhibitor
P16152,CBR1,2,CC(=CCCC(=CCCC(=CCO)C)C)C,CRDAMVZIKSXKFV-UHFFFAOYSA-N,C15H26O,222.37,inhibitor
P16152,CBR1,2,CC(=CCCC(=CCCC(C)(C=C)O)C)C,FQTLCLSUCSAZDY-UHFFFAOYSA-N,C15H26O,222.37,inhibitor
P16152,CBR1,2,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,NVEQFIOZRFFVFW-UHFFFAOYSA-N,C15H24O,220.36,inhibitor
P16152,CBR1,2,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,CWHUFRVAEUJCEF-UHFFFAOYSA-N,C18H21F3N6O2,410.40,inhibitor
P16152,CBR1,2,C1=CC(=CC=C1C2=C(C=C(C=C2)C3=NNN=N3)Cl)N4C=CN=C4,BQLUXQRYHTVVRM-UHFFFAOYSA-N,C16H11ClN6,322.76,inhibitor
P16152,CBR1,2,CC1=CC(=CN=C1C2=C(C=C(C=C2)C3=NNN=N3)F)N4C=CN=C4,VDTXKLCYUXDALV-UHFFFAOYSA-N,C16H12FN7,321.32,inhibitor
P16152,CBR1,2,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,C15H10O7,302.24,inhibitor
P16152,CBR1,2,CC1=CC(=O)C2=CC=CC=C2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,C11H8O2,172.18,inhibitor
P16152,CBR1,2,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC(=CC=C3)O)N,CPLGZXQPPYRNRC-UHFFFAOYSA-N,C15H17N5O,283.34,inhibitor
P16152,CBR1,2,CC(C)N1C2=NC=NC(NC)=C2C(C3=CC(O)=CC=C3)=C1,CHOWNNXMRTVILJ-UHFFFAOYSA-N,C16H18N4O,282.35,inhibitor
P16152,CBR1,2,COC(=O)NCCC1=C2C(=O)C=C(C(=O)C2=NN1)Cl,GVJPUFUYXMLQOG-UHFFFAOYSA-N,C11H10ClN3O4,283.67,inhibitor
P16152,CBR1,2,COC(=O)NCCC1=C2C(=NN1)C(=O)C=C(C2=O)Cl,SHINJCOYSWQILI-UHFFFAOYSA-N,C11H10ClN3O4,283.67,inhibitor
P16152,CBR1,2,CC1=CC=C(C=C1)NC2=CC(=O)C3=C(NN=C3C2=O)CCNC(=O)OC,NRLKYFXKKRDVDG-UHFFFAOYSA-N,C18H18N4O4,354.37,inhibitor
P16152,CBR1,2,COC1=CC=CC=C1NC2=CC(=O)C3=C(NN=C3C2=O)CCNC(=O)OC,UFVDWNKZJYZYTB-UHFFFAOYSA-N,C18H18N4O5,370.37,inhibitor
P16152,CBR1,2,COC(=O)NCCC1=C2C(=O)C=C(C(=O)C2=NN1)NC3=CC=CC=C3,UQFBQDRIPMMBLB-UHFFFAOYSA-N,C17H16N4O4,340.34,inhibitor
P16152,CBR1,2,COC1=CC=C(C=C1)NC2=CC(=O)C3=C(NN=C3C2=O)CCNC(=O)OC,GTVWYMLGXOLRGN-UHFFFAOYSA-N,C18H18N4O5,370.37,inhibitor
P16152,CBR1,2,COC(=O)NCCC1=C2C(=NN1)C(=O)C3=CC=CC=C3C2=O,JUNIKNGGNCODFZ-UHFFFAOYSA-N,C15H13N3O4,299.29,inhibitor
P16152,CBR1,2,CC1=CC(=O)C2=C(NN=C2C1=O)CCNC(=O)OC,LTOUTZOZVKZEER-UHFFFAOYSA-N,C12H13N3O4,263.25,inhibitor
P16152,CBR1,2,O=C(C=C1OC)C2=C(NN=C2CCNC(OC3=CC=CC=C3)=O)C1=O,IKEUEJOFALFVBB-UHFFFAOYSA-N,C17H15N3O5,341.32,inhibitor
P16152,CBR1,2,COC1=CC(=O)C2=C(NN=C2C1=O)CCNC(=O)OC,DVAOYJGNTDMCHE-UHFFFAOYSA-N,C12H13N3O5,279.25,inhibitor
P16152,CBR1,2,CCN(C1=CC=CC=C1)C2=CC(=O)C3=C(NN=C3C2=O)CCNC(=O)OC,SEXXKKPKSXJTJW-UHFFFAOYSA-N,C19H20N4O4,368.39,inhibitor
P16152,CBR1,2,CN(C1=CC=CC=C1)C2=CC(=O)C3=C(NN=C3C2=O)CCNC(=O)OC,WKBXNLQHNJOWNC-UHFFFAOYSA-N,C18H18N4O4,354.37,inhibitor
P16152,CBR1,2,COC1=C(C(=C(C2=C1C(=O)C3=C(NN=C3C2=O)CCNC(=O)OC)OC)Cl)Cl,JPZQPQKEEWNUEC-UHFFFAOYSA-N,C17H15Cl2N3O6,428.23,inhibitor
P16152,CBR1,2,COC(=O)NCCC1=C2C(=NN1)C(=O)C3=C(C2=O)C(=CC=C3)O,WFGMSKGMJCJZPQ-UHFFFAOYSA-N,C15H13N3O5,315.29,inhibitor
P16152,CBR1,2,CC1CCC=CC2=C(C(=CC(=C2)O)O)C(=O)OC(CCCC1=O)C,UUJWDQDIRVJCGT-UHFFFAOYSA-N,C19H24O5,332.40,inhibitor
P42345,MTOR,2,CC(CN1C2=C3C=C(C=CC3=NC=C2N(C1=O)C)C4=CC(=CN=C4)C(C)(C)O)OC,ACCFLVVUVBJNGT-UHFFFAOYSA-N,C23H26N4O3,406.49,inhibitor
P42345,MTOR,2,C1COCCN1C2=NC(=NC(=N2)NC3=CC=C(C=C3)[N+](=O)[O-])N4CCOCC4,MSSXBKQZZINCRI-UHFFFAOYSA-N,C17H21N7O4,387.40,activator
P42345,MTOR,2,CC(=CC1=CC=CC=C1)C=C2C(=O)N(C(=S)S2)CC(=O)O,CHNUOJQWGUIOLD-UHFFFAOYSA-N,C15H13NO3S2,319.41,inhibitor
P42345,MTOR,2,COC1=CC(=O)C=C(C1=O)OC,OLBNOBQOQZRLMP-UHFFFAOYSA-N,C8H8O4,168.15,inhibitor
P42345,MTOR,2,CCC1=C(C(=NC=N1)C2=CC(=C(C(=C2)F)C(=O)N3CCN(CC3)C=O)F)C#CC4=CN=C(C=C4)NC,KCHBOMPUBLXVEX-UHFFFAOYSA-N,C26H24F2N6O2,490.51,inhibitor
P42345,MTOR,2,CC(C)C1COC(=O)N1C2=NC3=C(C=NN3C=C2)C4=CC(=C(C=C4)C5=NC=NN5)Cl,ONDFQMVIYFILPC-UHFFFAOYSA-N,C20H18ClN7O2,423.86,inhibitor
P42345,MTOR,2,C1CCC(CC1)C2COC(=O)N2C3=NC4=C(C=NN4C=C3)C5=CC=C(C=C5)C6=NC=NN6,YFOCAFDTOIEYDR-UHFFFAOYSA-N,C23H23N7O2,429.48,inhibitor
P42345,MTOR,2,C1CCC(CC1)C2COC(=O)N2C3=NC4=C(C=NN4C=C3)C5=CC(=C(C=C5)C6=NC=NN6)F,CRWHTPKFVKQNPZ-UHFFFAOYSA-N,C23H22FN7O2,447.47,inhibitor
P42345,MTOR,2,C1C(N(C(=O)O1)C2=NC3=C(C=NN3C=C2)C4=CC=C(C=C4)C5=NC=NN5)C6=CC(=C(C=C6)F)Cl,CXZGGZUXXFAHRJ-UHFFFAOYSA-N,C23H15ClFN7O2,475.87,inhibitor
P42345,MTOR,2,C1C(N(C(=O)O1)C2=NC3=C(C=NN3C=C2)C4=CC(=C(C=C4)C5=NC=NN5)F)C6=CC(=C(C=C6)F)Cl,LGCITXMNOQGKAN-UHFFFAOYSA-N,C23H14ClF2N7O2,493.86,inhibitor
P42345,MTOR,2,C1C(N(C(=O)O1)C2=NC3=C(C=NN3C=C2)C4=CC(=C(C=C4)C5=NC=NN5)F)C6=CC(=C(C=C6)F)F,LVADTYNTZVNOTH-UHFFFAOYSA-N,C23H14F3N7O2,477.41,inhibitor
P42345,MTOR,2,CC1(COC(=O)N1C2=NC3=C(C=NN3C=C2)C4=CC(=C(C=C4)C5=NC=NN5)F)COC,BMVXHIWDQOUFMP-UHFFFAOYSA-N,C20H18FN7O3,423.41,inhibitor
P42345,MTOR,2,C1C(N(C(=O)O1)C2=NC3=C(C=NN3C=C2)C4=CC(=C(C=C4)C5=NC=NN5)F)C6=CC(=CC=C6)Cl,HPGWLIYMCLODRN-UHFFFAOYSA-N,C23H15ClFN7O2,475.87,inhibitor
P42345,MTOR,2,CC1=NC(=C(C=C1)F)C2COC(=O)N2C3=NC4=C(C=NN4C=C3)C5=CC(=C(C=C5)C6=NC=NN6)F,OUTALUBDMLULSQ-UHFFFAOYSA-N,C23H16F2N8O2,474.43,inhibitor
P42345,MTOR,2,CC(C)N(C)C1=NC(=NC(=N1)N2C3CCC2COC3)C4=CC=C(C=C4)NC(=O)NC5=CC=C(C=C5)N6CCN(CC6)C,DWZMKBJNBGZSNL-UHFFFAOYSA-N,C31H41N9O2,571.73,inhibitor
P42345,MTOR,2,CC1COCCN1C2=NC(=NC(=N2)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)N5CCC(CC5)N(C)C)N6C7CCC6COC7,YKVNJQGTRMCVSV-UHFFFAOYSA-N,C34H45N9O3,627.79,inhibitor
P42345,MTOR,2,CC1COCCN1C2=NC(=NC(=N2)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C(=O)N5CCN(CC5)C(C)C)N6C7CCC6COC7,FGHCWWRKFHRERP-UHFFFAOYSA-N,C35H45N9O4,655.80,inhibitor
P42345,MTOR,2,CC1=C(C=NC=C1)C2=CN3C(=NC(=C3C4=NC(=NC(=N4)C)N)NC5=CC=NN5)C=C2,NECBLBSHQGQKDS-UHFFFAOYSA-N,C20H18N10,398.43,inhibitor
P42345,MTOR,2,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,HKVAMNSJSFKALM-UHFFFAOYSA-N,C53H83NO14,958.24,inhibitor
P42345,MTOR,2,C1=CN=C(C2=C1N(C=N2)C3C=C(C(C3O)O)CO)N,OMKHWTRUYNAGFG-UHFFFAOYSA-N,C12H14N4O3,262.27,inhibitor
P42345,MTOR,2,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,JDUBGYFRJFOXQC-UHFFFAOYSA-N,C21H25ClN6O2,428.92,inhibitor
P42345,MTOR,2,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,C30H23N5O,469.55,inhibitor
P42345,MTOR,2,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,QFJCIRLUMZQUOT-UHFFFAOYSA-N,C51H79NO13,914.19,inhibitor
P42345,MTOR,2,CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,NDAZATDQFDPQBD-UHFFFAOYSA-N,C26H31N3O5,465.55,inhibitor
P42345,MTOR,2,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,CWHUFRVAEUJCEF-UHFFFAOYSA-N,C18H21F3N6O2,410.40,inhibitor
P42345,MTOR,2,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,TUVCWJQQGGETHL-UHFFFAOYSA-N,C19H16N4O3,348.36,inhibitor
P42345,MTOR,2,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,CBPNZQVSJQDFBE-UHFFFAOYSA-N,C56H87NO16,1030.30,inhibitor
P42345,MTOR,2,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,C14H12O3,228.25,inhibitor
