Uniprot_Accession,Gene_Name,Classification,Confidence_Level,Similarity_Score,SMILES
P49137,MAPKAPK2,inhibitor,2,0.3985,O=C(C(O1)=CC=C1C2=CC=C(C#N)C=C2)N(CC3=C(C4=CN=CC=C4OC)N=CC=C3)C5=CC=C(N6CCNCC6)C=C5
P49841,GSK3B,inhibitor,2,0.3984,CN1C=C(C2=CC=CC(=C21)CO)C3=C(C(=O)NC3=O)C4=COC5=CC=CC=C54
P56524,HDAC4,inhibitor,2,0.3984,O=C(C1=C(O)C2=C(N(C)C1=O)C=CC=C2OC)N(C)C3=CC=C(C(F)(F)F)C=C3
P33527,ABCC1,inhibitor,2,0.3982,O=C(C(OC)=C(OC1=CC(OC)=C2)C3=CC=C(OC)C(OC)=C3)C1=C2OC
P33527,ABCC1,inhibitor,2,0.3982,C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4[C@@H]([C@@]1(C)O)OC(=O)C5=CC=CC=C5)OC)OC)OC)OC)OCO3
Q00535,CDK5,inhibitor,3,0.3981,O=C1C(C2=CC=C(O)C(O)=C2)=C3N(CCC4=CC(O)=C(O)C=C4)C(C5=C3C6=C1C=C(O)C(O)=C6)=C(C7=CC(O)=C(O)C=C7)C(C8=C5C=C(O)C(O)=C8)=O
P14174,MIF,inhibitor,2,0.3979,OC1=C(O)C=CC(C2=CN=C3N2C=CC=C3)=C1
,tubulin,activator,1,0.3979,CC1C(OC(=O)C(C1O)C)CC(C=CC(C)C(C(C)C=C(C)CC(C)C(C(C)C(C(C)C=CC=C)OC(=O)N)O)O)O
P10415,BCL2,inhibitor,1,0.3978,O=C(C1=C(C)N(CC)C(C2=CC=C(Cl)C=C2)=C1C3=CC=CC(N4CCN(C5=CC=C(NS(=O)(C6=CC=C(N[C@H](CCN7CCC(O)CC7)CSC8=CC=CC=C8)C(S(=O)(C(F)(F)F)=O)=C6)=O)C=C5)CC4)=C3)O
P26358,DNMT1,inhibitor,2,0.3978,CN(C)CC1ON=C(C2=CC=C([N+]([O-])=O)C=C2)C1
P26358,DNMT1,inhibitor,2,0.3978,CN(C)CC1CC(C2=CC=C([N+]([O-])=O)C=C2)=NO1
P11388,TOP2A,inhibitor,1,0.3978,O=C1OCC2C1[C@H](C3=CC(OC)=C(O)C(OC)=C3)C4=CC5=C(OCO5)C=C4[C@H]2OCC6=CN(CC7=CC=C(C(O)=O)C=C7)N=N6
P10415,BCL2,inhibitor,1,0.3977,OC1=C(O)C(/C=N/NCC(C2=CC(O)=C(C(OC(C3=CC(O)=C(C(O)=C3)O)=O)=C2)O)=C)=C(C(O)=C(C(C(C)=C(C(C(C)C)=C4O)C(C(C=NNCC(C5=CC(O)=C(C(OC(C6=CC(O)=C(O)C(O)=C6)=O)=C5)O)=C)=C4O)=C7)=C7O)C(C)=C8)C8=C1C(C)C
O00329,PIK3CD,inhibitor,2,0.3976,COCCOCCOCC#CC1=C2C(=CC=C1)N=C(N(C2=O)CC3=CC=CC=C3C(F)(F)F)CN4C5=NC=NC(=C5C(=N4)C6=CC(=CC(=C6)F)O)N
P10415,BCL2,inhibitor,1,0.3976,O=C(O)C1=NN(C2=CC=C(OC3=CC=CC=C3)C=C2)C(C4=CC=C(OC(C)C)C=C4)=C1NC(C5=CC=C(OC(C)C)C=C5)=O
Q92831,KAT2B,inhibitor,2,0.3976,CC1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)Cl)C1
,tubulin,activator,1,0.3976,CC1=C2C3C(C4(CCC5C(C4C(C(C2(C)C)(CC1OC(=O)C(C(C6=C(C=CC=N6)F)NC(=O)OC(C)(C)C)O)O)OC(=O)C7=CC=CC=C7)(CO5)OC(=O)C)C)OC(O3)CN(C)C
Q13153,PAK1,allosteric regulator,3,0.3976,C1=CC=C2C(=C1)C(=CC=C2O)O
Q13153,PAK1,inhibitor,3,0.3976,OC1=C(C(OC)=O)C=C(O)C2=CC=CC=C21
O75914,PAK3,inhibitor,3,0.3976,OC1=C(C(OC)=O)C=C(O)C2=CC=CC=C21
O75914,PAK3,inhibitor,3,0.3976,OC1=CC=C(O)C2=CC=CC=C21
P49840,GSK3A,inhibitor,2,0.3975,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7
P49841,GSK3B,inhibitor,2,0.3975,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7
O60885,BRD4,inhibitor,1,0.3975,CCN(C(NC1=O)=O)C2=C1C(C3=CC=CC=C3)C(C(N(CCC4=CC=C(O)C=C4)C5)=O)=C5N2
P42345,MTOR,inhibitor,2,0.3974,CCC1=CC=C(C=C1)C(=O)C2=C(C3=CC4=C(C=C3N=C2)OCCO4)N5CCC(CC5)C(=O)N
Q02880,TOP2B,inhibitor,1,0.3974,O=C1N(CCCC)C2=CC=CC=C2C3=C1C(O)=C(/N=C/C4=CC=CS4)C(O3)=O
P37231,PPARG,activator,2,0.3973,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)OS(=O)(=O)O)OC)O
P04637,TP53,inhibitor,1,0.3973,O=C(C(C=CC(C(F)(F)F)=C1)=C1N2)N(C(C(OC)=O)C3=CC=C(Cl)C=C3)C(C4=CC=C(Cl)C=C4)C2=S
Q00987,MDM2,inhibitor,1,0.3973,O=C(C(C=CC(C(F)(F)F)=C1)=C1N2)N(C(C(OC)=O)C3=CC=C(Cl)C=C3)C(C4=CC=C(Cl)C=C4)C2=S
P49841,GSK3B,inhibitor,2,0.3972,CN1CCC2=CCC3C(C21)C4=CC(=C(C=C4C(=O)O3)O)OC
Q07812,BAX,allosteric regulator,3,0.3971,OC(CN1CCNCC1)CN2C3=C(C4=C2C=CC(Br)=C4)C=C(Br)C=C3
,tubulin,inhibitor,1,0.3971,COC1=C(OC)C(OC)=CC(N2C(C(C(O)C3=CC=CC=C3)C2=O)C4=CC=C(OC)C=C4)=C1
P30291,WEE1,inhibitor,1,0.3971,O=C1NC(C2=C1C3=C(C=C2C4=C(Cl)C=CC=C4)N(C)C5=CC(OCCCN(C)C)=C(O)C=C53)=O
P30291,WEE1,inhibitor,1,0.3971,O=C1NC(C2=C1C3=C(C=C2C4=C(Cl)C=CC=C4)N(C)C5=CC(OCCCN6CCCC6)=C(O)C=C53)=O
Q00987,MDM2,inhibitor,1,0.397,CNC([C@@H]1CCCN1C(C2=C(C(C)C)N3C(S2)=N[C@](C4=CC=C(Cl)C=C4)(C)[C@H]3C5=CC=C(Cl)C=C5)=O)=O
P04637,TP53,inhibitor,1,0.397,CNC([C@@H]1CCCN1C(C2=C(C(C)C)N3C(S2)=N[C@](C4=CC=C(Cl)C=C4)(C)[C@H]3C5=CC=C(Cl)C=C5)=O)=O
O15350,TP73,inhibitor,1,0.3968,OC(C(OC)=C4)=C(OC)C=[C@@]4[C@@H]2C1=CC3=C(OCO3)C=C1[C@@H](NC6=NC(CC(N7CCN(C)CC7)=C)=CS6)[C@@H](CO5)[C@@H]2[C@]5=O
P10415,BCL2,inhibitor,1,0.3968,O=C(NS(=O)(C1=CC=C(NC[C@H]2CC[C@@](O)(C)CC2)C([N+]([O-])=O)=C1)=O)C3=CC=C(N4CCC5(CC(N6CCC[C@H]6C7=C(CC)C=CC=C7)C5)CC4)C=C3OC8=CC(C=CN9)=C9N=C8
O96017,CHEK2,inhibitor,1,0.3968,C/C(C1=CC=C(NC(NC2=CC=C(/C(C)=N\NC3=NCCN3)C=C2)=O)C=C1)=N\NC4N=CCN4
,tubulin,inhibitor,1,0.3967,COC1=C(C=C(C=C1)C2C(C(=O)N2C3=CC(=C(C(=C3)OC)OC)OC)C4=CC=C(C=C4)O)O
P30304,CDC25A,inhibitor,1,0.3966,BrC1=CC=C2C(C(C(C(OCC)=O)=C(CNC(C)C)N3C)=C3C(C2=O)=O)=C1
O00329,PIK3CD,inhibitor,2,0.3966,O=C1N(C2=CC=CC=C2)C([C@@H]3CCN3C4=NC(N)=NC=C4C(C)=O)=NC5C1=C(Cl)C=C5
P11802,CDK4,inhibitor,1,0.3966,O=C(NC1)C2=CC3=C(N2C41CCCC4)N=C(NC5=CC=C(N6CCN(C(C)C)CC6)C=N5)N=C3
Q00534,CDK6,inhibitor,1,0.3966,O=C(NC1)C2=CC3=C(N2C41CCCC4)N=C(NC5=CC=C(N6CCN(C(C)C)CC6)C=N5)N=C3
P33527,ABCC1,inhibitor,2,0.3966,CN1C[C@@H](C[C@]2([C@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br
P16152,CBR1,inhibitor,2,0.3965,C1=CC=C(C(=C1)NC(=O)C2=CC3=C(C(=CC=C3)O)OC2=N)Cl
P11802,CDK4,inhibitor,1,0.3965,CC(C)N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6
Q00535,CDK5,inhibitor,3,0.3965,O=C1N(OCC(C2=CC=CC=C2)=O)C(C3=C1C=CC=C3)=O
Q00534,CDK6,inhibitor,1,0.3965,CC(C)N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6
Q96GD4,AURKB,inhibitor,1,0.3965,ClC1=C2C(N=CC(C(OCC)=O)=C2NC3=CC(S(=O)(NC)=O)=CC=C3)=CC(Cl)=C1
O00329,PIK3CD,inhibitor,2,0.3964,C[C@H](NC1=NC(N)=NC(C)=C1C#N)C2=C(C3=CC=CC=C3)C(N4C(C=CC(F)=C4)=C2C5=CC=C(F)C=C5)=O
O00329,PIK3CD,inhibitor,2,0.3964,O=C1N(C2=CC=CC=C2)C([C@H]3N(C4=NC(N)=NC(N)=C4C#N)CC5(CC5)C3)=NC6=CC=CC(Cl)=C61
P10415,BCL2,inhibitor,1,0.3964,O=C(NS(=O)(C1=CC=C(NCC2CCOCC2)C([N+]([O-])=O)=C1)=O)C3=CC=C(N4CCC(NCCOC5OC6[C@@]7(OO[C@](O6)(C)CC8)[C@]8([H])[C@H](C)CC[C@@]7([H])[C@H]5C)CC4)C=C3OC9=CN=C(NC=C%10)C%10=C9
Q14680,MELK,inhibitor,1,0.3963,CN1CCN(CC(N(C)C2=CC=C(N/C(C5=CC([N+]([O-])=O)=CC=C5)=C4/C3=CC(C(OC)=O)=CC=C3NC4=O)C=C2)=O)CC1
O00329,PIK3CD,inhibitor,2,0.3963,O=C(N1C[C@H](N(C2=CC=CC(C3=CC(C4=CC=NN4C5CCOCC5)=C6N3N=CN=C6N)=C2)[C@@H](C)C1)C)C
P49841,GSK3B,inhibitor,2,0.3962,O=C(C(C1=CNC2=C1C=C(Cl)C(OC)=C2)=C3C4=COC5=C4C=CC=C5)NC3=O
O75914,PAK3,inhibitor,3,0.3962,O=C(C1=CC(O)=C(O)C=C1)CSC2=NC(CCCC3)=C3C(C4=CC=C(C)O4)=C2C#N
P10415,BCL2,inhibitor,1,0.3961,CC1=C(C(=C(N1C(C)C)C2=CC=C(C=C2)Cl)C3=CC(=CC(=C3)F)N4CCN(CC4)C5=CC=C(C=C5)NS(=O)(=O)C6=CC(=C(C=C6)N[C@H](CCN7CCC(CC7)C(=O)OCCCP(=O)(O)O)CSC8=CC=CC=C8)S(=O)(=O)C(F)(F)F)S(=O)(=O)C
P61073,CXCR4,inhibitor,2,0.3961,C(CN(CCC(=O)NCCN)CCN(CCC(=O)NCCN)CCC(=O)NCCN)C(=O)NCCN
Q00987,MDM2,inhibitor,1,0.3961,CC(C)(C)CC1C(C(C(N1)C(=O)NC2=C(C=C(C=C2)C(=O)O)OC)C3=C(C(=CC=C3)Cl)F)(C#N)C4=C(C=C(C=C4)Cl)F
P53350,PLK1,inhibitor,1,0.3961,CN1CCC(NC(C2=CC(OC)=C(NC3=NC(N(CC4CCCCC4)[C@H](CC)C5=NN=C(C)N56)=C6C=N3)C=C2)=O)CC1
O60885,BRD4,inhibitor,1,0.3961,CC[C@H](C1=NN=C(C)N12)N(CC3CCCCC3)C4=C2C=NC(NC5=CC=C(C(NC6CCN(C)CC6)=O)C=C5OC)=N4
O60885,BRD4,inhibitor,1,0.3961,CN(C(C=N1)=C(N(CC2=CC(C)=CS2)[C@@H]3CC)N=C1NC4=C(OCC)C=C(C5CCN(C)CC5)C=C4)C3=O
O43683,BUB1,inhibitor,3,0.396,FC1=CC(OCC)=CC(F)=C1CN2N=C(C4=NC=C(OCC6(COC6)CO)C(NC5=CC=NC=C5)=N4)C3=C2CCC3
P49841,GSK3B,inhibitor,2,0.396,C1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)NS(=O)(=O)C3=CC=CC=C3)[N+](=O)[O-]
Q8NG68,TTL,inhibitor,3,0.396,C[C@@]1(C(O)=O)CCC[C@@]2(C)[C@@]1([H])[C@@H](O)C[C@@](C)(O)[C@]2(C)CC/C(C)=C/C[C@H]3OC(C=C3C)=O
O00329,PIK3CD,inhibitor,2,0.396,O=C1N(CCN(C(C)=O)C1(C)C)C2=C(C#N)C=CC(C3=CC(C(F)(F)F)=C4N3N=CN=C4N)=C2
P49841,GSK3B,inhibitor,2,0.3959,CN1C=C(C2=C1C=CC(=C2)Br)C3=C(C(=O)NC3=O)C4=COC5=C4C=CC(=C5)CO
O60885,BRD4,inhibitor,1,0.3959,CC1=NOC(C)=C1C2=CCC3C4=C2O[C@H](C5=NC=CC=C5)CN4C(N3)=O
P30291,WEE1,inhibitor,1,0.3959,O=C1NC(C2=C1C3=C(C=C2C4=C(Cl)C=CC=C4)N(CCO)C5=CC(CCCCN6CCOCC6)=C(O)C=C53)=O
Q00535,CDK5,inhibitor,3,0.3958,O=C(NC1=O)C2=C1C(C(C=C(O)C=C3)=C3N4[C@@H]5O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]5O)=C4C6=C2C7=C(C=CC(O)=C7)N6
P33527,ABCC1,inhibitor,2,0.3958,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
P33527,ABCC1,inhibitor,2,0.3958,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Q6RVA0,MDR1,inhibitor,2,0.3958,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2C)C(C)(C)CCC1
O14980,XPO1,inhibitor,2,0.3958,CC=CC1C(C(CC(O1)C(C=CC=C(C)CC(C)C=C(C)C=CC2CC=CC(=O)O2)O)O)C
P37231,PPARG,activator,2,0.3957,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
P26358,DNMT1,inhibitor,2,0.3957,O=C1C(Cl)([N+]([O-])=O)C(C2=C([N+]([O-])=O)C=CC=C2)OC3=CC=CC=C31
Q13887,KLF5,inhibitor,2,0.3955,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
P42345,MTOR,inhibitor,2,0.3955,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
Q13315,ATM,inhibitor,1,0.3955,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
P33527,ABCC1,inhibitor,2,0.3955,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
P53350,PLK1,inhibitor,1,0.3955,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
P53350,PLK1,inhibitor,1,0.3955,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
P53350,PLK1,inhibitor,1,0.3955,C[C@@]12C3=C(C(C4=C2[C@H](OC(C)=O)C[C@@]5(C)C4CCC5=O)=O)OC=C3C(O[C@@H]1COC)=O
Q9H4B4,PLK3,inhibitor,3,0.3955,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
O95271,TNKS,inhibitor,1,0.3955,O=C1NC(N2CCC3(CN(CCO)C4=C3C(F)=CC(F)=C4)CC2)=NC5=C1CCCC5
P49841,GSK3B,inhibitor,2,0.3954,C1=CC=C2C(=C1)C(=NN=C3N(C(=C(S3)C4=C5C=CC=CC5=NC4=O)O)C6=CC=C(C=C6)O)C(=O)N2
P10415,BCL2,inhibitor,1,0.3954,FC1=CC(N2CCN(C3=CC=C(NS(=O)(C4=CC=C(NC(CCN5CCC(O)CC5)CSC6=CC=CC=C6)C(S(=O)(C(F)(F)F)=O)=C4)=O)C=C3)CC2)=CC(C(C(S(=O)(C)=O)=C7C)=C(N7C(C)C)C8=CC=C(C=C8)Cl)=C1
P52732,KIF11,inhibitor,1,0.3954,O=C1N(C2=CC=C(O)C=C2)C(CC3=CC=CC=C3)NC4=CC=C(N5CCCCC5)C=C41
P49841,GSK3B,inhibitor,2,0.3953,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O
O60885,BRD4,inhibitor,1,0.3953,CN(C(C=N1)=C(N(C2CCCC2)[C@@H]3C)N=C1NC4=C(OC5CCCC5)C=C(C(NC6CCN(C)CC6)=O)C=C4)C3=O
O00329,PIK3CD,inhibitor,2,0.3952,O=C1N(C2=CC=CC=C2)C([C@H]3N(C4=NC=NC5=C4C(C#N)=CN5)CCC3)=NN6C=CC=C61
P11802,CDK4,inhibitor,1,0.3952,O=C(NC1)C2=CC3=C(N2C41CCCC4)N=C(NC5=CC=C(N6CCN(C)CC6)C=N5)N=C3
Q00534,CDK6,inhibitor,1,0.3952,O=C(NC1)C2=CC3=C(N2C41CCCC4)N=C(NC5=CC=C(N6CCN(C)CC6)C=N5)N=C3
P11802,CDK4,inhibitor,1,0.3951,CN1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6
Q00534,CDK6,inhibitor,1,0.3951,CN1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6
P52732,KIF11,inhibitor,1,0.3951,O=C1N(C2=CC=C(O)C=C2)C(CC3=CC=CC=C3)NC4=CC=C(N5CCCC5)C=C41
O15350,TP73,activator,1,0.395,OC(C(OC)=C4)=C(OC)C=[C@@]4[C@@H]2C1=CC3=C(OCO3)C=C1[C@@H](NC6=NC(CC(OCC)=C)=CS6)[C@@H](CO5)[C@@H]2[C@]5=O
,tubulin,inhibitor,1,0.395,COC1=C(OC)C(OC)=CC(C2N(ON=C2OC)C3=CC=C(OC)C(O)=C3)=C1
Q9NPI1,BRD7,inhibitor,3,0.3949,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)C(C5CCCCC5)N)N2
O14757,CHEK1,inhibitor,1,0.3949,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)C(C5CCCCC5)N)N2
Q9UQB9,AURKC,inhibitor,3,0.3949,OC1=CC=CC=C1C(NC2=NC=CC=C2)=O
P29375,KDM5A,inhibitor,2,0.3948,CC1=CC=C(C2=CN3C=C(C)C=CC3=N2)C=C1
O43347,MSI1,inhibitor,2,0.3948,CC1=C(C(=C2C(=C(C(=C(C2=C1O)C(C)C)O)O)C=O)O)C3=C(C(=O)C4=C(C(=O)C(=O)C(=C4C3=O)C=O)C(C)C)C
Q6RVA0,MDR1,inhibitor,2,0.3948,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3OC)OC)OC)OC
P11388,TOP2A,inhibitor,1,0.3948,O=C1C2C(OC(C(O)=C(C/C=C(C)/C)C=C3O)=C3C2=O)C(OC)=C(C/C=C(C)/C)C1=O
Q13535,ATR,inhibitor,2,0.3947,O=C(OC1)N(C2=CC=CC(C(F)(F)F)=C2)C3=C1C=NC4=CC=C(N5CCOCC5)C=C43
P10415,BCL2,inhibitor,1,0.3947,O=C(NCCOCCOCCNC1=CC=CC(C(N2C3CCC(NC3=O)=O)=O)=C1C2=O)CCCCC(NCCN4C(C5=C6C(C4=O)=CC=C(C6=CC=C5)SC7=CC=C(C=C7)Br)=O)=O
P00519,ABL1,inhibitor,3,0.3947,O=C(NC1=CC(C(F)(F)F)=CC(N2C=NC(C)=C2)=C1)C3=CC=C(C)C(NC4=NC=CC(C5=CC=CN=C5)=N4)=C3
O00329,PIK3CD,inhibitor,2,0.3946,O=S(C1=CC=C(CN2C(C3COCCN3C4=C2C=NC(C5=CC=CC6=C5C=CN6)=N4)=O)C=C1)(C)=O
P43405,SYK,inhibitor,2,0.3946,C1(NC2=NC=CC(C3=NC=CS3)=N2)=CC=CC=C1
Q00987,MDM2,inhibitor,1,0.3945,CCCCCCCCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)C(C)O)CC(C)C)CC(=O)N)CC(=O)N)C)C(C)O)CCCN2C=C3C(=C(C(=O)C(C3=O)(C)OC(=O)CCC)Cl)C(C24CCCO4)O
Q8TF76,HASPIN,inhibitor,1,0.3945,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
P33527,ABCC1,inhibitor,2,0.3945,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
P43405,SYK,inhibitor,2,0.3945,O=C(NC1=CC=C(C(OC)=O)C=C1)C2=CC=CC(C(N=C3NC(C=C4OC)=CC=C4OC)=CN5C3=NC=C5)=C2
Q6RVA0,MDR1,inhibitor,2,0.3945,O=C1C2=C(CCC1)NC(C)=C(C(OCC3=CC=CC=N3)=O)C2C4=C([N+]([O-])=O)C=CC=C4
Q6RVA0,MDR1,inhibitor,2,0.3945,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)OC)O)OC
P52732,KIF11,inhibitor,1,0.3945,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
P04637,TP53,inhibitor,1,0.3943,CC(C)(C)[C@H]1[C@@](C2=CC=C(Cl)C=C2F)(C#N)[C@@H](C3=C(F)C(Cl)=CC=C3)[C@H](C(NC4=CC=C(C(O)=O)C=C4OC)=O)N1
Q00987,MDM2,inhibitor,1,0.3943,CC(C)(C)[C@H]1[C@@](C2=CC=C(Cl)C=C2F)(C#N)[C@@H](C3=C(F)C(Cl)=CC=C3)[C@H](C(NC4=CC=C(C(O)=O)C=C4OC)=O)N1
,tubulin,activator,1,0.3943,B(C1=C(C=CC(=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)OC)(O)O
O00418,EEF2K,inhibitor,2,0.3942,C1CN(CCN1CC2=CC=CC=C2)C(=O)NC3=C(C=C(C=C3)F)F
O00329,PIK3CD,inhibitor,2,0.3942,NC1=NC=NC(N[C@H](C2=C(C3=CC(CN4CCC(N(C)C)CC4)=CC=C3)C(N5C(C)=CSC5=C2)=O)C)=C1C#N.C
P61073,CXCR4,inhibitor,2,0.3942,O=[N+](C1=CC=C(C=C1)NCC2=CN=C(CNC3=CC=C([N+]([O-])=O)C=C3)C=C2)[O-]
O43683,BUB1,inhibitor,3,0.3941,FC1=CC(OCC)=CC(F)=C1CN2N=C(C4=NC=C(OCCN(C)C)C(NC5=CC=NC=C5)=N4)C3=C2CCC3
O00418,EEF2K,inhibitor,2,0.3941,C1CC1(S(=O)(=O)C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)Cl
Q9NYY3,PLK2,inhibitor,1,0.3941,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2F)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC
P53350,PLK1,inhibitor,1,0.3941,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2F)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC
P53350,PLK1,inhibitor,1,0.3941,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2F)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC.Cl
O00418,EEF2K,inhibitor,2,0.3941,ClC1=CC=C(S(C2(S(C3=CC=C(Cl)C=C3)(=O)=O)CC2)(=O)=O)C=C1
,tubulin,activator,1,0.3941,COC1=C(C=C(C=C1)C=CC2=CC=C(C=C2)NC(=O)NCCCl)O
P49841,GSK3B,inhibitor,2,0.394,CC1(CC2=C(C(C3=C(NN=C3N2)C(F)(F)F)C4=CC=CC=C4OC)C(=O)C1)C
Q6RVA0,MDR1,inhibitor,2,0.394,COC1=C(OC)C=C(CCN(CCN2C=C(COC3=C(C(NC4=CC=C(C(C)(C)C)C=C4)=O)C=CC=C3)N=N2)C5)C5=C1
P33527,ABCC1,inhibitor,2,0.3939,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
P11388,TOP2A,inhibitor,1,0.3939,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
,tubulin,activator,1,0.3938,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O
P11388,TOP2A,inhibitor,1,0.3938,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O
Q00535,CDK5,inhibitor,3,0.3936,NC1=NC=NC2=C1C3=C(N2)C=CC=C3
P36507,MAP2K2,inhibitor,1,0.3936,CC1=C(SC=N1)C2=CC=C(C=C2)C(C)NC(=O)C3CC(CN3C(=O)C(C(C)(C)C)NC(=O)CCCCCCCCCCNCCCONC(=O)C4=C(C(=C(C=C4)F)F)NC5=C(C=C(C=C5)I)F)O
O14980,XPO1,inhibitor,2,0.3936,O=C(O)/C=C(C)/C[C@H](C)[C@@H](O)[C@H](C)C([C@H](C)/C=C(C)/C=C/C[C@@H](C)/C=C(CC)\C=C\[C@H]1[C@@H](C)C=CC(O1)=O)=O
Q13153,PAK1,inhibitor,3,0.3936,CC1(C2=C(CN1C(=O)N3CCN(CC3CC4=CC=CC=C4)C)C(=NN2)NC(=O)C5=CC(=CC=C5)OC6=CC=CC=C6)C
O00329,PIK3CD,inhibitor,2,0.3935,COCCN(CCOC)C(=O)CCCC#CC1=C2C(=CC=C1)N=C(N(C2=O)CC3=CC=CC=C3Cl)CN4C5=NC=NC(=C5C(=N4)C6=CC(=CC=C6)O)N
O00329,PIK3CD,inhibitor,2,0.3935,O=C1N(C2=NC(NC3=NC(C)=C(C4=CC(C5)=C(C(S(=O)(C)=O)=C4)C(N5[C@H](C6CC6)C)=O)S3)=CC=C2)CCC1
P10415,BCL2,inhibitor,1,0.3935,O=C(NS(=O)(C1=CC=C(NC[C@H]2CC[C@H](OC)CC2)C([N+]([O-])=O)=C1)=O)C3=CC=C(N4CCN(CC5=C(C6=CC=C(Cl)C=C6)CC(C)(C)CC5)CC4)C=C3OC7=CN=C(NC=C8)C8=C7
